Number,Category,Message
1,ham,"Hello,Go until you want to explor"
2,ham,ok lar…joking wif u oni
3,spam ,Free entry
4,ham,u dan say so early
5,ham,Nah I don't want to do it
6,spam ,FreeMsg sdervice avaulable on your mov=bile click on this link
7,ham,even my bro is going there
8,ham,there are many things which is insane
9,spam ,WINNER !! You got free dubai tickets
10,spam ,SIX cahnges to win cash
11,ham,I am coming soon there to see you
12,spam ,CLICK on this link and get your best ride…..
13,ham,you don't get tensed
14,spam ,XXXXXXXX678 you win this !!!!
15,spam ,XXXXXXX89000 your acc is filll with this amoub=nt of money if click here then it will
16,ham,yeh.okay
17,ham,no not sure
18,spam ,ENG v IND got your coupon 
19,ham,"ok then,"
20,spam ,Free!!11 you can win this by doing this
21,ham,we will not sure when we are coming  for you
22,ham,you can excess your course here.
